pnum,qualitative,concave,noChange,accuracy,RT
1,0,0,1,0,1.3994
1,0,0,1,1,1.4393
1,0,0,1,1,0.85313
1,1,0,0,0,0.50655
1,0,0,1,0,1.0929
1,1,0,0,0,0.50652
1,1,0,0,1,0.97294
1,0,0,1,1,0.57334
1,1,0,0,1,0.66643
1,0,0,1,1,0.7061
1,0,0,0,0,0.33322
1,1,0,0,0,0.62675
1,0,1,0,0,0.50672
1,0,0,1,1,0.33328
1,0,0,1,1,0.69303
1,0,0,1,1,1.2125
1,0,0,1,1,0.78624
1,0,0,1,1,1.0529
1,0,0,1,0,0.45288
1,0,0,0,1,0.7064
1,0,0,0,0,0.89297
1,0,0,1,1,0.58757
1,0,1,0,1,0.74639
1,0,0,1,1,0.29329
1,0,0,1,0,1.0396
1,0,0,0,1,0.66619
1,0,1,0,0,0.47969
1,0,0,1,1,0.5066
1,0,0,1,1,0.57285
1,0,0,1,1,0.39992
1,1,1,0,0,0.6531
1,0,0,0,1,0.57337
1,0,0,1,1,0.90626
1,0,0,1,1,0.853
1,0,0,0,0,0.69307
1,1,1,0,1,0.70641
1,0,0,1,1,0.55982
1,0,0,0,0,0.79951
1,1,0,0,1,0.62647
1,0,0,1,1,0.61312
1,0,0,1,1,0.63977
1,0,0,1,1,1.1727
1,0,0,0,0,0.4653
1,0,0,1,0,0.69335
1,0,1,0,1,0.50651
1,0,0,0,1,0.4932
1,0,0,1,1,1.599
1,1,1,0,0,0.61314
1,0,0,1,1,0.84
1,0,1,0,1,0.70639
1,0,0,1,1,0.71973
1,0,1,0,1,0.87964
1,0,1,0,1,0.38657
1,0,0,1,0,0.95994
1,0,0,0,1,0.9596
1,0,0,1,1,0.53337
1,0,0,1,1,0.86646
1,0,0,1,1,0.85291
1,0,0,1,1,1.0795
1,0,0,1,1,0.63978
1,1,1,0,1,1.1995
1,0,0,1,1,0.69307
1,0,0,1,1,0.77325
1,0,0,1,1,0.46654
1,1,0,0,0,1.0128
1,0,1,0,1,0.57353
1,0,0,0,1,0.82634
1,0,0,1,1,0.67976
1,1,1,0,1,0.67975
1,0,0,1,1,0.89305
1,0,1,0,1,0.46675
1,0,0,1,0,0.59954
1,1,0,0,1,0.50651
1,0,0,1,1,0.5465
1,0,0,1,1,0.70641
1,0,0,0,0,0.86631
1,1,0,0,0,0.61312
1,0,0,1,1,0.69303
1,0,0,1,0,0.61291
1,0,1,0,1,0.77305
1,0,0,1,1,0.94659
1,1,0,0,1,0.62645
1,0,0,1,1,0.53317
1,1,1,0,1,0.42656
1,1,0,0,0,0.39961
1,0,0,1,1,0.90632
1,0,0,1,1,0.45321
1,1,0,0,1,0.53261
1,0,1,0,1,1.3727
1,1,1,0,1,1.0662
1,0,0,1,1,0.37326
1,1,0,0,1,0.90628
1,0,0,1,1,0.3999
1,0,0,1,1,0.6531
1,0,0,1,1,0.43989
1,0,0,1,1,0.42657
1,0,0,0,0,0.74619
1,0,0,1,1,0.77321
1,0,1,0,1,0.66675
1,0,0,1,1,0.70631
1,1,0,0,0,1.6259
1,0,0,1,0,0.69308
1,0,0,1,1,0.75995
1,0,0,1,1,0.50652
1,0,0,1,1,0.45321
1,0,0,1,1,0.66642
1,1,1,0,0,0.69307
1,1,0,0,1,0.81295
1,0,0,0,0,0.51984
1,1,0,0,1,1.1592
1,0,0,1,1,0.49319
1,0,0,1,1,0.55981
1,0,0,1,1,0.99988
1,0,0,1,0,0.69308
1,0,0,0,0,0.56017
1,1,0,0,0,0.9466
1,0,0,1,1,0.42656
1,1,0,0,0,0.49318
1,1,0,0,1,0.63948
1,0,0,1,1,0.35993
1,0,0,1,1,0.43988
1,0,0,1,1,0.85299
1,1,0,0,0,0.58647
1,1,1,0,0,0.62644
1,0,0,1,0,0.69308
1,0,0,1,1,0.50631
1,0,0,1,1,0.73306
1,1,0,0,0,0.29339
1,1,0,0,0,0.47986
1,1,1,0,1,0.46671
1,0,0,0,0,0.69308
1,1,1,0,1,0.57315
1,1,0,0,1,0.65335
1,0,0,1,1,0.5197
1,0,0,1,0,0.72036
1,0,1,0,1,0.58648
1,0,1,0,1,0.5201
1,0,0,1,1,1.2394
1,0,0,1,1,1.1726
1,0,0,1,1,0.57315
1,0,1,0,1,0.89278
1,0,0,1,1,0.98652
1,0,1,0,1,0.43989
1,0,0,1,1,0.5998
1,0,1,0,1,0.59979
1,0,0,1,1,0.57393
1,0,0,1,0,0.58647
1,0,1,0,0,0.69329
1,1,0,0,1,1.0396
1,0,0,1,0,0.61311
1,0,0,1,1,0.66655
1,0,0,0,1,0.81272
1,1,1,0,1,0.83958
1,0,0,1,1,0.41323
1,0,0,1,1,0.34666
1,0,1,0,1,0.82608
1,1,0,0,1,0.83959
1,0,1,0,1,0.61337
1,0,0,1,1,0.47985
1,0,0,1,1,1.0662
1,1,1,0,1,0.79995
1,0,0,1,1,0.59979
1,1,0,0,0,0.78635
1,0,1,0,1,0.58647
1,0,0,1,1,0.3999
1,0,0,1,1,1.386
1,0,0,1,1,0.6267
1,0,0,1,1,0.49383
1,0,0,0,0,0.53372
1,0,0,1,1,0.99949
